id;d;s;ds;t;wSW;wR;kSW;SW;kR;R;ISBN;not_ISBN;OC;kPt;Pt;wPt;M;claster
140;0.06666666666666667;0.06365348303831869;0.4728735235510023;0.6213402212837704;0.333333333;1.0;0.125;0.10582010571428573;0.06666666666666667;0.14634146342177276;0.0;0.0;0.0;0;0;0;0.0;0
141;0.06666666666666667;0.3301946448996082;0.46245269727027033;0.11180470248005729;0.333333333;0.401851852;0.125;0.10582010571428573;0.6;0.5292682927575253;0.0;0.25;0.0;0;0;0;0.25;1
142;0.06666666666666667;0.10790798973384755;1.0;0.8738641643183779;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0;0;0;0.3125;2
143;0.06666666666666667;0.07671176271514667;0.5906212571688371;0.6777481670005917;0.375;0.225;0.25;0.2380952380952381;0.13333333333333333;0.06585365853979774;0.25;0.0;0.0;0;0;0;0.0625;0
144;0.06666666666666667;0.09862156277808534;0.8685606709782232;0.8108971551461122;0.2;0.0;0.25;0.126984126984127;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0
145;0.06666666666666667;0.6139140829785046;0.2058873864755179;0.06154938252873136;0.583333333;0.75;0.375;0.5555555555555556;0.26666666666666666;0.4390243902653183;0.0;0.0;0.0;0;0;0;0.0;1
146;0.06666666666666667;0.10379686524796888;0.9466027725849031;0.8482838168421449;0.0;0.2;0.0;0.0;0.06666666666666667;0.029268292684354554;0.0;0.0;0.0;0;0;0;0.0;0
147;0.06666666666666667;0.1031924774556439;0.9555023098028395;0.8525472080881837;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0
148;0.06666666666666667;0.10403885155195437;0.9634890748153421;0.8563733283951477;0.0;0.0;0.0;0.0;0.0;0.0;0.333333333;0.0;0.0;0;0;0;0.08333333325;0
149;0.06666666666666667;0.07955301666908152;0.6046551431766866;0.6844712070424223;0.5;0.25;0.25;0.31746031746031744;0.06666666666666667;0.03658536585544319;0.0;0.0;0.0;0;0;0;0.0;0
150;0.06666666666666667;0.0887223090767599;0.712476467764863;0.7361238317540464;0.291666667;0.291666667;0.25;0.1851851850793651;0.13333333333333333;0.0853658536139203;0.0;0.0;0.0;0;0;0;0.0;0
151;0.06666666666666667;0.10790798973384755;1.0;0.8738641643183779;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0;0;0;0.3125;2
152;0.06666666666666667;0.09192941028891548;0.8273147363838338;0.7911379764865859;0.2;0.0;0.125;0.0634920634920635;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0
153;0.06666666666666667;0.4361461427089971;0.4495244624682358;0.10561133284669046;0.321428571;0.3125;0.875;0.7142857142857143;0.26666666666666666;0.18292682927721596;0.0;0.0;0.0;0;0;0;0.0;1
154;0.06666666666666667;0.10452249375667881;0.9680529399499894;0.8585596829643863;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0
155;0.06666666666666667;0.09025380851491957;0.7238861326552208;0.7415897179248715;0.0;0.75;0.0;0.0;0.13333333333333333;0.21951219513265915;0.0;0.0;0.0;0;0;0;0.0;0
156;0.06666666666666667;0.1031924774556439;0.9555023098028395;0.8525472080881837;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0
157;0.06666666666666667;0.308981132884169;0.5995207943867735;0.30360405120176426;0.25;1.0;0.125;0.07936507936507936;0.06666666666666667;0.14634146342177276;0.2;0.291666666625;0.0;0;0;0;0.341666666625;1
158;0.06666666666666667;0.08118469045409171;0.565291801769439;0.6656138996080196;0.0;0.833333333;0.0;0.0;0.2;0.3658536585544319;0.0;0.0;0.0;0;0;0;0.0;0
159;0.06666666666666667;0.10790798973384755;1.0;0.8738641643183779;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0;0;0;0.3125;2
160;0.06666666666666667;0.37810236329798497;0.0;0.14253489582811685;0.39375;0.372222222;1.0;1.0;1.0;0.8170731707227841;0.25;0.166666666625;0.0;0;0;0;0.229166666625;1
161;0.06666666666666667;0.09545399474285592;0.8642249988949341;0.808820118343176;0.0;0.25;0.0;0.0;0.06666666666666667;0.03658536585544319;0.0;0.520833333375;0.0;0;0;0;0.520833333375;2
162;0.06666666666666667;0.0863842576350231;0.650864282285905;0.7066080462045469;0.0;0.666666667;0.0;0.0;0.2;0.2926829268435455;0.0;0.0;0.0;0;0;0;0.0;0
163;0.06666666666666667;0.3080139515812088;0.737577728059163;0.3697412743354495;0.166666667;0.333333333;0.125;0.05291005301587302;0.2;0.14634146342177276;0.45;0.0;0.0;0;0;0;0.1125;1
164;0.06666666666666667;0.10101608719432291;0.9349649146431869;0.8427086129050172;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0
165;0.06666666666666667;0.10101608719432291;0.9349649146431869;0.8427086129050172;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0
166;0.06666666666666667;0.088512943870255;0.7293627699953019;0.7442133433070494;0.266666667;0.2;0.25;0.1693121692063492;0.13333333333333333;0.05853658536870911;0.0;0.0;0.0;0;0;0;0.0;0
167;0.06666666666666667;0.09552649982416792;0.8612584851197957;0.8073989880119204;0.2;0.0;0.125;0.0634920634920635;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0
168;0.06666666666666667;0.10790798973384755;1.0;0.8738641643183779;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0;0;0;0.3125;2
169;0.06666666666666667;0.09339748332171387;0.7535512580841682;0.7558010221203795;0.0;0.75;0.0;0.0;0.13333333333333333;0.21951219513265915;0.0;0.375;0.0;0;0;0;0.375;2
170;0.06666666666666667;0.08535785892944256;0.759826574184613;0.758807259495413;0.25;0.0;0.125;0.07936507936507936;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0
171;0.06666666666666667;0.046524073039200434;0.27472569346245024;0.5264159973308626;1.0;0.5;0.125;0.31746031746031744;0.06666666666666667;0.07317073171088638;0.0;0.0;0.0;0;0;0;0.0;0
172;0.06666666666666667;0.1021042823249834;0.9452336122230132;0.8476279104966005;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0
173;0.06666666666666667;0.09962540931970491;0.9035883403021816;0.8276774257775786;0.0;0.25;0.0;0.0;0.06666666666666667;0.03658536585544319;0.0;0.0;0.0;0;0;0;0.0;0
174;0.06666666666666667;0.3321290076415531;0.47614429472795183;0.24449960159189663;0.25;0.401851852;0.25;0.15873015873015872;0.6;0.5292682927575253;0.75;0.0;0.0;0;0;0;0.1875;1
175;0.06666666666666667;0.0849345687067865;0.7467054603821971;0.7525214903926574;0.333333333;0.0;0.125;0.10582010571428573;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0
176;0.06666666666666667;0.07235790936813019;0.45461806095867324;0.6125948033852232;0.25;0.833333333;0.125;0.07936507936507936;0.2;0.3658536585544319;0.0;0.041666666625;0.0;0;0;0;0.041666666625;0
